Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
16/08/2005,Brisbane,Ship,Recreational,Coastal Waters,Scarbrough Boat Harbour,Lubricating Oil,Unknown
24/08/2005,Gladstone,Ship,Commercial,Port,Gladstone Harbour,Diesel,Unknown
25/08/2005,Cairns,Ship,Commercial,Port,"Smiths Creek, Cairns",Bilge,Unknown
31/08/2005,Cairns,Ship,Commercial,Port,Thursday Island Main Wharf,Diesel,Unknown
21/09/2005,Cairns,Unknown,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
22/09/2005,Mackay,Unknown,Unknown,Port,Mackay Marina,Diesel,5
6/10/2005,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
6/10/2005,Cairns,Ship,Commercial,Port,"No. 4 Wharf, Cairns",Bilge,5
7/10/2005,Cairns,Ship,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Bilge,Unknown
10/10/2005,Cairns,Ship,Recreational,Port,Mourilyan Harbour,Diesel,Unknown
