Data Source,World Development Indicators,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,
,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021,2022,2023
Low & middle income,LMY,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,6.23399899146904,6.23400622785045,6.58457441017789,8.21167703698684,8.1357188573897,,
Lesotho,LSO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Late-demographic dividend,LTE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.98587259339922,8.9858906407478,9.20177379952916,12.401895993889,12.1355402056557,,
Lithuania,LTU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,25.5910267323495,25.5910267323495,25.59247,25.59247,25.59327126,25.5924759,
Luxembourg,LUX,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Latvia,LVA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,16.0363617853212,16.0363617853212,16.03661,16.03789,16.03735733,16.0392818,
"Macao SAR, China",MAC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
St. Martin (French part),MAF,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,96.4019006131393,96.4019006131393,96.42516,96.42509,96.42507935,96.4250793,
Morocco,MAR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.259984460474417,0.259984460474417,0.259984,0.689612,0.67562151,0.6756215,
Monaco,MCO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,99.8319954581051,99.8319954581051,99.75462,99.75462,99.71312714,99.7131271,
Moldova,MDA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Madagascar,MDG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.746184480636302,0.746184480636302,0.746185,0.913728,0.91372788,0.9137279,
Maldives,MDV,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0515050354543078,0.0515050354543078,0.051505,0.067595,0.067595109,0.0675951,
Middle East & North Africa,MEA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.58268498053276,1.58268498053276,1.5835277911812,1.32612257808872,1.33121064696709,,
Mexico,MEX,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,21.7820205104146,21.7820205104146,21.5534,21.55339,21.55339432,21.5555801,
Marshall Islands,MHL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.268803312449119,0.268803312449119,0.268803,0.268803,0.268803269,0.2688033,
Middle income,MIC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,6.35800352647168,6.35801275266153,6.74060518003307,8.5872843133708,8.50264606984818,,
North Macedonia,MKD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
